number;technicalLabel;danger
109;ANDROID.PERMISSION.ACCESS_COARSE_LOCATION;YES
110;ANDROID.PERMISSION.ACCESS_FINE_LOCATION;YES
111;ANDROID.PERMISSION.ACCESS_LOCATION_EXTRA_COMMANDS;YES
112;ANDROID.PERMISSION.ACCESS_MOCK_LOCATION;YES
113;ANDROID.PERMISSION.ACCESS_NETWORK_STATE;YES
114;ANDROID.PERMISSION.ACCESS_WIFI_STATE;YES
116;ANDROID.PERMISSION.ADD_VOICEMAIL;YES
117;ANDROID.PERMISSION.AUTHENTICATE_ACCOUNTS;YES
118;ANDROID.PERMISSION.BATTERY_STATS;NO
215;ANDROID.PERMISSION.BIND_DEVICE_ADMIN;NO
216;ANDROID.PERMISSION.BIND_INPUT_METHOD;NO
217;ANDROID.PERMISSION.BIND_NFC_SERVICE;NO
218;ANDROID.PERMISSION.BIND_NOTIFICATION_LISTENER_SERVICE;NO
219;ANDROID.PERMISSION.BIND_PRINT_SERVICE;NO
220;ANDROID.PERMISSION.BIND_REMOTEVIEWS;NO
221;ANDROID.PERMISSION.BIND_TEXT_SERVICE;NO
222;ANDROID.PERMISSION.BIND_VPN_SERVICE;NO
223;ANDROID.PERMISSION.BIND_WALLPAPER;NO
120;ANDROID.PERMISSION.BLUETOOTH;YES
121;ANDROID.PERMISSION.BLUETOOTH_ADMIN;YES
124;ANDROID.PERMISSION.BROADCAST_STICKY;NO
126;ANDROID.PERMISSION.CALL_PHONE;YES
127;ANDROID.PERMISSION.CAMERA;YES
128;ANDROID.PERMISSION.CHANGE_CONFIGURATION;YES
129;ANDROID.PERMISSION.CHANGE_NETWORK_STATE;YES
130;ANDROID.PERMISSION.CHANGE_WIFI_MULTICAST_STATE;YES
131;ANDROID.PERMISSION.CHANGE_WIFI_STATE;YES
133;ANDROID.PERMISSION.CLEAR_APP_CACHE;NO
134;ANDROID.PERMISSION.DISABLE_KEYGUARD;YES
137;ANDROID.PERMISSION.EXPAND_STATUS_BAR;NO
138;ANDROID.PERMISSION.FLASHLIGHT;NO
140;ANDROID.PERMISSION.GET_ACCOUNTS;YES
141;ANDROID.PERMISSION.GET_PACKAGE_SIZE;NO
142;ANDROID.PERMISSION.GET_TASKS;YES
224;ANDROID.PERMISSION.GLOBAL_SEARCH;NO
144;ANDROID.PERMISSION.INSTALL_SHORTCUT;YES
147;ANDROID.PERMISSION.INTERNET;YES
148;ANDROID.PERMISSION.KILL_BACKGROUND_PROCESSES;YES
149;ANDROID.PERMISSION.MANAGE_ACCOUNTS;YES
213;ANDROID.PERMISSION.MANAGE_DOCUMENTS;YES
151;ANDROID.PERMISSION.MODIFY_AUDIO_SETTINGS;YES
155;ANDROID.PERMISSION.NFC;YES
156;ANDROID.PERMISSION.PERSISTENT_ACTIVITY;NO
157;ANDROID.PERMISSION.PROCESS_OUTGOING_CALLS;YES
159;ANDROID.PERMISSION.READ_CALENDAR;YES
160;ANDROID.PERMISSION.READ_CALL_LOG;YES
161;ANDROID.PERMISSION.READ_CONTACTS;YES
163;ANDROID.PERMISSION.READ_EXTERNAL_STORAGE;YES
166;ANDROID.PERMISSION.READ_HISTORY_BOOKMARKS;YES
168;ANDROID.PERMISSION.READ_PHONE_STATE;YES
169;ANDROID.PERMISSION.READ_PROFILE;YES
171;ANDROID.PERMISSION.READ_SMS;YES
172;ANDROID.PERMISSION.READ_SOCIAL_STREAM;YES
173;ANDROID.PERMISSION.READ_SYNC_SETTINGS;YES
174;ANDROID.PERMISSION.READ_SYNC_STATS;YES
175;ANDROID.PERMISSION.READ_USER_DICTIONARY;YES
176;ANDROID.PERMISSION.RECEIVE_BOOT_COMPLETED;YES
177;ANDROID.PERMISSION.RECEIVE_MMS;YES
178;ANDROID.PERMISSION.RECEIVE_SMS;YES
179;ANDROID.PERMISSION.RECEIVE_WAP_PUSH;YES
180;ANDROID.PERMISSION.RECORD_AUDIO;YES
181;ANDROID.PERMISSION.REORDER_TASKS;NO
182;ANDROID.PERMISSION.SEND_SMS;YES
183;ANDROID.PERMISSION.SET_ALARM;NO
186;ANDROID.PERMISSION.SET_PREFERRED_APPLICATIONS;YES
187;ANDROID.PERMISSION.SET_TIME_ZONE;NO
188;ANDROID.PERMISSION.SET_WALLPAPER;NO
189;ANDROID.PERMISSION.SET_WALLPAPER_HINTS;NO
190;ANDROID.PERMISSION.SUBSCRIBED_FEEDS_READ;YES
191;ANDROID.PERMISSION.SUBSCRIBED_FEEDS_WRITE;YES
192;ANDROID.PERMISSION.SYSTEM_ALERT_WINDOW;YES
214;ANDROID.PERMISSION.TRANSMIT_IR;NO
193;ANDROID.PERMISSION.UNINSTALL_SHORTCUT;NO
194;ANDROID.PERMISSION.USE_CREDENTIALS;YES
195;ANDROID.PERMISSION.USE_SIP;YES
196;ANDROID.PERMISSION.VIBRATE;NO
197;ANDROID.PERMISSION.WAKE_LOCK;NO
199;ANDROID.PERMISSION.WRITE_CALENDAR;YES
200;ANDROID.PERMISSION.WRITE_CALL_LOG;YES
201;ANDROID.PERMISSION.WRITE_CONTACTS;YES
202;ANDROID.PERMISSION.WRITE_EXTERNAL_STORAGE;YES
204;ANDROID.PERMISSION.WRITE_HISTORY_BOOKMARKS;YES
206;ANDROID.PERMISSION.WRITE_PROFILE;YES
208;ANDROID.PERMISSION.WRITE_SETTINGS;YES
209;ANDROID.PERMISSION.WRITE_SMS;YES
210;ANDROID.PERMISSION.WRITE_SOCIAL_STREAM;YES
211;ANDROID.PERMISSION.WRITE_SYNC_SETTINGS;YES
212;ANDROID.PERMISSION.WRITE_USER_DICTIONARY;YES
